Business Heading,Business Category,Business Category Slug,Product Category,Product Category Slug,Product Name,Product Slug
Retail,Kirana Store,kirana-store,New Arrivals,new-arrivals,Latest Collection,latest-collection
Retail,Kirana Store,kirana-store,New Arrivals,new-arrivals,Trending Products,trending-products
Retail,Kirana Store,kirana-store,New Arrivals,new-arrivals,Seasonal Products,seasonal-products
Retail,Kirana Store,kirana-store,New Arrivals,new-arrivals,Premium Collection,premium-collection
Retail,Kirana Store,kirana-store,New Arrivals,new-arrivals,Festive Collection,festive-collection
Retail,Kirana Store,kirana-store,New Arrivals,new-arrivals,Limited Edition,limited-edition
Retail,Kirana Store,kirana-store,New Arrivals,new-arrivals,Top Rated,top-rated
Retail,Kirana Store,kirana-store,New Arrivals,new-arrivals,Hot Selling,hot-selling
Retail,Kirana Store,kirana-store,Best Sellers,best-sellers,Customer Favorite,customer-favorite
Retail,Kirana Store,kirana-store,Best Sellers,best-sellers,Budget Pick,budget-pick
Retail,Kirana Store,kirana-store,Best Sellers,best-sellers,Popular Item,popular-item
Retail,Kirana Store,kirana-store,Best Sellers,best-sellers,Top Discounted,top-discounted
Retail,Kirana Store,kirana-store,Best Sellers,best-sellers,Value Pack,value-pack
Retail,Kirana Store,kirana-store,Best Sellers,best-sellers,Combo Offer,combo-offer
Retail,Kirana Store,kirana-store,Best Sellers,best-sellers,Special Deal,special-deal
Retail,Kirana Store,kirana-store,Best Sellers,best-sellers,Exclusive Item,exclusive-item
Retail,Kirana Store,kirana-store,Premium Products,premium-products,Luxury Edition,luxury-edition
Retail,Kirana Store,kirana-store,Premium Products,premium-products,Imported Product,imported-product
Retail,Kirana Store,kirana-store,Premium Products,premium-products,High Quality Item,high-quality-item
Retail,Kirana Store,kirana-store,Premium Products,premium-products,Designer Collection,designer-collection
Retail,Kirana Store,kirana-store,Premium Products,premium-products,Premium Pack,premium-pack
Retail,Kirana Store,kirana-store,Premium Products,premium-products,Exclusive Series,exclusive-series
Retail,Kirana Store,kirana-store,Premium Products,premium-products,Gold Edition,gold-edition
Retail,Kirana Store,kirana-store,Premium Products,premium-products,Signature Product,signature-product
Retail,Supermarket,supermarket,General Services,general-services,Basic Service,basic-service
Retail,Supermarket,supermarket,General Services,general-services,Premium Service,premium-service
Retail,Supermarket,supermarket,General Services,general-services,Express Service,express-service
Retail,Supermarket,supermarket,General Services,general-services,Emergency Service,emergency-service
Retail,Supermarket,supermarket,General Services,general-services,Annual Plan,annual-plan
Retail,Supermarket,supermarket,General Services,general-services,Consultation Service,consultation-service
Retail,Supermarket,supermarket,General Services,general-services,Custom Service,custom-service
Retail,Supermarket,supermarket,General Services,general-services,Bulk Service,bulk-service
Retail,Mobile Shop,mobile-shop,New Arrivals,new-arrivals,Latest Collection,latest-collection
Retail,Mobile Shop,mobile-shop,New Arrivals,new-arrivals,Trending Products,trending-products
