Business Heading,Business Category,Business Category Slug,Product Category,Product Category Slug,,,
Retail,Kirana Store,kirana-store,Groceries ,groceries,,Business Title,Business Category
Retail,Kirana Store,kirana-store,Daily Essentials ,daily-essentials,,Retail,Kirana Store
Retail,Kirana Store,kirana-store,FMCG Products ,fmcg-products,,Retail,Supermarket
Retail,Kirana Store,kirana-store,Packaged Food ,packaged-food,,Retail,Mobile Shop
Retail,Kirana Store,kirana-store,Beverages ,beverages,,Retail,Electronics Shop
Retail,Kirana Store,kirana-store,Snacks & Namkeen,snacks-namkeen,,Retail,Hardware Store
Retail,Kirana Store,kirana-store,Dairy Products,dairy-products,,Retail,Stationery Shop
Retail,Kirana Store,kirana-store,Spices & Masala,spices-masala,,Retail,Book Store
Retail,Kirana Store,kirana-store,"Atta, Rice & Pulses",atta-rice-pulses,,Retail,Gift Shop
Retail,Kirana Store,kirana-store,Cooking Oil & Ghee,cooking-oil-ghee,,Retail,Toy Shop
Retail,Kirana Store,kirana-store,Household Items,household-items,,Retail,Jewellery Shop
Retail,Kirana Store,kirana-store,Personal Care Products,personal-care,,Retail,Pharmacy / Medical Store
Retail,Kirana Store,kirana-store,Cleaning Supplies,cleaning-supplies,,Retail,Pet Supplies Store
Retail,Kirana Store,kirana-store,Organic Products,organic-products,,Retail,Optical Store
Retail,Kirana Store,kirana-store,Baby Care Products,baby-care,,Retail,Footwear Shop
Retail,Supermarket,supermarket,Groceries ,groceries,,Retail,Clothing Store
Retail,Supermarket,supermarket,Fresh Fruits & Vegetables,fruits-vegetables,,Retail,Sports Goods Shop
Retail,Supermarket,supermarket,Dairy & Bakery Products,dairy-bakery,,Retail,Cosmetics Shop
Retail,Supermarket,supermarket,Frozen Food,frozen-food,,Retail,Organic Products Store
Retail,Supermarket,supermarket,Beverages,beverages,,Retail,Home Decor Shop
Retail,Supermarket,supermarket,Snacks & Packaged Food,snacks-packaged-food,,Retail,Kitchenware Store
Retail,Supermarket,supermarket,Personal Care,personal-care,,Retail,Electrical Shop
